"","household_income","experienced_wellbeing"
"1",1156.63940276885,16.177326714411
"2",6767.72587980365,16.5243434316197
"3",30726.3052252065,16.535452075727
"4",10715.3152293642,17.1215079669337
"5",17236.3277101123,17.1550323706937
"6",-10403.0944912079,17.3127921616335
"7",12187.8700423603,17.87404968805
"8",24055.9644088722,18.5053838092064
"9",21682.2126922579,19.046978378389
"10",29634.7674032704,19.0795965924265
"11",8160.61592064375,20.0245346711176
"12",14069.9542882381,20.699305056915
"13",19501.930772649,20.8022823401461
"14",12214.4860544472,21.0353958749682
"15",11606.6698781147,21.2719020067008
"16",8256.55469703381,21.3846622897528
"17",16380.2466858576,21.6104321789815
"18",32669.754009882,21.7914988055576
"19",12964.3804395227,21.928121638348
"20",15064.5577226519,22.6950185233744
"21",13631.6382880634,22.8417095747089
"22",38916.3903019742,23.0010756325303
"23",36400.5343866744,23.3069849051902
"24",32219.5467964301,23.4616440196261
"25",35497.6714565051,23.4908182578881
"26",32175.2221635622,23.6483427716917
"27",22741.3056329303,23.79723691206
"28",16635.1364134702,24.0165170118625
"29",13447.691287242,24.0190393313238
"30",24287.9993857596,24.2452015422841
"31",23102.6238939159,24.4982103940374
"32",12418.4934462224,24.5128664752754
"33",25780.399647603,24.7071391554034
"34",30583.2878645916,24.7869848544854
"35",26463.6316833965,24.8212831170191
"36",37692.3157723563,24.8282684465312
"37",27722.1308102547,24.9893875471424
"38",36454.489473349,25.0341300186248
"39",-6697.76899138109,25.0479798459523
"40",18142.6765199199,25.1796582719857
"41",18413.6344205701,25.2481118837254
"42",33497.1056731199,25.3260047076571
"43",18228.285182679,25.3618592921434
"44",15992.0284500669,25.388142222698
"45",43037.5416364719,25.4068747575641
"46",25079.4745596089,25.6078141053479
"47",29064.6350047692,25.6698366039518
"48",40276.136492414,25.7039634958519
"49",22105.6667261756,25.7297428553612
"50",41641.0710320907,25.9003764681192
"51",18923.4173342785,25.9393252238055
"52",28467.0531332589,25.9556987424331
"53",25687.941757527,25.9611073945187
"54",26396.3401978189,26.0113372899255
